label,message,feature_notes
smishing,Congratulations! You have won USD50. Claim your reward now.,"fear, urgency"
smishing,We noticed unauthorized activity in your account. Login immediately.,"obfuscation, malicious_pattern"
smishing,We noticed unauthorized activity in your account. Login immediately.,"urgency, malicious_url"
benign,Your ZESA token purchase was successful.,banking_notification
smishing,Final warning: Your mobile banking access will be terminated today.,"obfuscation, malicious_pattern"
smishing,Act now to avoid account suspension.,"impersonation, credential_request"
benign,OneMoney transfer of USD500 completed successfully.,banking_notification
benign,Your data bundle purchase was successful.,reminder
benign,Airtime recharge successful.,reminder
benign,Happy birthday! Wishing you a wonderful day ahead.,reminder
benign,Happy birthday! Wishing you a wonderful day ahead.,reminder
benign,Can you send me the assignment notes later?,otp_notification
benign,Airtime recharge successful.,banking_notification
smishing,"Dear customer, update your PayNow wallet PIN immediately at http://verify-account-security.com","obfuscation, malicious_pattern"
smishing,You have received a tax refund. Submit banking details to receive payment.,"impersonation, credential_request"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"financial_lure, persuasion"
smishing,Your Steward Bank account requires immediate verification. Click here: http://verify-account-security.com,"fear, urgency"
smishing,Your package delivery failed. Confirm address here: http://secure-login-update.com,"obfuscation, malicious_pattern"
smishing,URGENT: Your PayNow account has been suspended. Verify now at http://account-update-alert.com,"impersonation, credential_request"
smishing,"Dear customer, update your Mukuru wallet PIN immediately at http://account-update-alert.com","obfuscation, malicious_pattern"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"impersonation, credential_request"
benign,Reminder: Your appointment is scheduled for tomorrow at 2 PM.,otp_notification
smishing,We noticed unauthorized activity in your account. Login immediately.,"urgency, malicious_url"
benign,Your OTP for Steward Bank banking is 224851. Do not share this code.,otp_notification
smishing,Final warning: Your mobile banking access will be terminated today.,"financial_lure, persuasion"
smishing,Limited-time government grant available. Register now.,"urgency, malicious_url"
benign,The bus will arrive in 10 minutes.,transactional_sms
smishing,Your NMB account requires immediate verification. Click here: http://account-update-alert.com,"financial_lure, persuasion"
benign,Airtime recharge successful.,personal_message
benign,Airtime recharge successful.,reminder
benign,Your data bundle purchase was successful.,personal_message
benign,Your account balance is USD250.,personal_message
benign,Electricity outage scheduled for tonight from 8 PM.,banking_notification
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"impersonation, credential_request"
benign,The bus will arrive in 10 minutes.,banking_notification
smishing,Win a free iPhone today by completing verification.,"impersonation, credential_request"
smishing,Suspicious login detected on your account. Secure it now.,"impersonation, credential_request"
benign,Your OTP for Steward Bank banking is 162381. Do not share this code.,transactional_sms
smishing,We noticed unauthorized activity in your account. Login immediately.,"impersonation, credential_request"
benign,Your data bundle purchase was successful.,otp_notification
benign,Please remember our meeting tomorrow.,personal_message
benign,Meeting moved to 4 PM today.,reminder
smishing,Final warning: Your mobile banking access will be terminated today.,"urgency, malicious_url"
smishing,"Dear customer, update your OneMoney wallet PIN immediately at http://wallet-authentication.net","financial_lure, persuasion"
benign,Exam timetable has been released.,reminder
benign,Happy birthday! Wishing you a wonderful day ahead.,banking_notification
benign,Lunch was great today thank you.,otp_notification
smishing,You have received a tax refund. Submit banking details to receive payment.,"financial_lure, persuasion"
benign,Thank you for shopping with Bon Marche.,transactional_sms
benign,Can you send me the assignment notes later?,otp_notification
smishing,You have received a tax refund. Submit banking details to receive payment.,"impersonation, credential_request"
benign,Can you send me the assignment notes later?,transactional_sms
benign,Your parcel is ready for collection at Avondale.,transactional_sms
benign,Mukuru transfer of USD500 completed successfully.,banking_notification
smishing,"Dear customer, update your PayNow wallet PIN immediately at http://wallet-authentication.net","impersonation, credential_request"
smishing,Win a free iPhone today by completing verification.,"urgency, malicious_url"
smishing,"Dear customer, update your Mukuru wallet PIN immediately at http://account-update-alert.com","urgency, malicious_url"
smishing,Cl1ck h3re to v3rify your acc0unt immediately.,"fear, urgency"
benign,Airtime recharge successful.,personal_message
benign,Happy birthday! Wishing you a wonderful day ahead.,transactional_sms
smishing,Suspicious login detected on your account. Secure it now.,"financial_lure, persuasion"
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"impersonation, credential_request"
benign,Airtime recharge successful.,banking_notification
smishing,Limited-time government grant available. Register now.,"impersonation, credential_request"
smishing,We noticed unauthorized activity in your account. Login immediately.,"obfuscation, malicious_pattern"
benign,Thank you for shopping with TM Pick n Pay.,otp_notification
smishing,We noticed unauthorized activity in your account. Login immediately.,"impersonation, credential_request"
benign,The bus will arrive in 10 minutes.,transactional_sms
benign,Exam timetable has been released.,reminder
smishing,Your WhatsApp account has been compromised. Verify identity immediately.,"urgency, malicious_url"
benign,Happy birthday! Wishing you a wonderful day ahead.,transactional_sms
smishing,Limited-time government grant available. Register now.,"impersonation, credential_request"
